Medicine ID,Medicine Name,Category,Manufacturer,Batch Number,Expiry Date,Stock Quantity,Unit Price,Supplier Name,Status
M0141,Metformin,Tablet,Glenmark,B67491,01-02-2029,14,1356.48,Wellness Pharma,Low Stock
M0142,Paracetamol,Syrup,Cipla,B13770,26-06-2028,447,1514.09,Apollo Distributor,Available
M0143,Crocin,Syrup,Pfizer,B92170,14-12-2028,140,522.38,Wellness Pharma,Available
M0144,Ibuprofen,Cream,Lupin,B77923,17-09-2028,285,681.82,MedPlus Supplier,Available
M0145,Aspirin,Capsule,Lupin,B12471,27-07-2029,327,1117.38,MedPlus Supplier,Available
M0146,Vitamin C,Injection,Dr. Reddy's,B65905,11-11-2029,41,658.26,Wellness Pharma,Available
M0147,Ibuprofen,Tablet,Pfizer,B34668,09-09-2029,205,1483.04,Wellness Pharma,Available
M0148,Ibuprofen,Tablet,Lupin,B19081,12-04-2029,196,1865.3,Wellness Pharma,Available
M0149,Ciprofloxacin,Injection,Sun Pharma,B61226,25-03-2030,130,533.82,ABC Medicals,Available
M0150,Calcium Tablets,Cream,Alkem,B30787,20-12-2028,464,1811.94,MedPlus Supplier,Available
M0151,ORS,Cream,Dr. Reddy's,B53739,28-09-2029,373,1131.56,ABC Medicals,Available
M0152,Pantoprazole,Tablet,Glenmark,B40564,19-08-2027,140,374.69,Apollo Distributor,Available
M0153,Ibuprofen,Injection,Dr. Reddy's,B41055,11-06-2027,175,1634.08,Wellness Pharma,Available
M0154,Azithromycin,Syrup,Pfizer,B26777,13-04-2027,263,506.3,Wellness Pharma,Available
M0155,Atorvastatin,Syrup,Dr. Reddy's,B13251,26-11-2027,148,1268.42,MedPlus Supplier,Available
M0156,Dolo 650,Injection,Mankind,B23818,11-03-2029,61,1052.09,MedPlus Supplier,Available
M0157,Vitamin D,Cream,Cipla,B68795,14-03-2029,131,784.37,ABC Medicals,Available
M0158,Dolo 650,Injection,Cipla,B64446,21-07-2030,357,1960.16,HealthCare Pharma,Available
M0159,Aspirin,Tablet,Pfizer,B64811,07-07-2030,406,1220.15,MedPlus Supplier,Available
M0160,Aspirin,Tablet,Lupin,B41966,18-06-2027,225,1585.21,Apollo Distributor,Available
M0161,Azithromycin,Capsule,Alkem,B18437,15-01-2028,222,1397.12,HealthCare Pharma,Available
M0162,Metformin,Injection,Sun Pharma,B55072,21-05-2030,298,2009.18,HealthCare Pharma,Available
M0163,Monocef,Syrup,Sun Pharma,B88807,01-07-2030,56,1717.98,ABC Medicals,Available
M0164,Amoxicillin,Injection,Sun Pharma,B81487,02-02-2030,27,2044.85,Wellness Pharma,Available
M0165,Monocef,Tablet,Glenmark,B12924,02-02-2027,150,1431.96,MedPlus Supplier,Available
M0166,Ibuprofen,Syrup,Cipla,B83335,10-11-2027,312,410.39,MedPlus Supplier,Available
M0167,Pantoprazole,Tablet,Pfizer,B38451,31-08-2029,368,1713.77,ABC Medicals,Available
M0168,Diclofenac,Capsule,Pfizer,B80573,02-08-2027,326,1228.23,Apollo Distributor,Available
M0169,Aspirin,Tablet,Mankind,B33230,05-02-2030,171,395.26,HealthCare Pharma,Available
M0170,Azithromycin,Cream,Abbott,B89983,10-10-2029,320,917.08,Apollo Distributor,Available
M0171,Metformin,Tablet,Alkem,B32064,28-01-2030,114,1103.22,Wellness Pharma,Available
M0172,ORS,Syrup,Dr. Reddy's,B64560,02-05-2030,62,1606.26,ABC Medicals,Available
M0173,ORS,Capsule,Pfizer,B45951,15-12-2028,1,891.17,Apollo Distributor,Low Stock
M0174,Monocef,Injection,Dr. Reddy's,B61737,25-07-2030,415,1038.45,Wellness Pharma,Available
M0175,Monocef,Capsule,Abbott,B26061,17-03-2028,419,2047.62,Apollo Distributor,Available
M0176,Dolo 650,Cream,Pfizer,B26325,08-04-2028,276,1620.83,MedPlus Supplier,Available
M0177,Paracetamol,Tablet,Pfizer,B92002,07-06-2030,151,1316.13,Wellness Pharma,Available
M0178,Cetirizine,Cream,Lupin,B73518,28-12-2028,64,35.03,HealthCare Pharma,Available
M0179,Azithromycin,Capsule,Torrent,B38627,28-08-2029,202,1214.91,ABC Medicals,Available
M0180,Azithromycin,Syrup,Cipla,B67062,24-03-2030,201,826.83,Wellness Pharma,Available
M0181,Ciprofloxacin,Capsule,Pfizer,B63787,06-07-2028,78,2185.09,Apollo Distributor,Available
M0182,Ibuprofen,Capsule,Alkem,B69880,12-08-2030,233,1659.48,Wellness Pharma,Available
M0183,Dolo 650,Syrup,Cipla,B97837,18-06-2030,214,939.65,Wellness Pharma,Available
M0184,Diclofenac,Capsule,Sun Pharma,B73002,16-09-2028,384,150.73,Wellness Pharma,Available
M0185,Augmentin,Capsule,Cipla,B92177,15-01-2029,43,1228.6,ABC Medicals,Available
M0186,ORS,Tablet,Abbott,B14246,28-07-2029,72,143.02,Wellness Pharma,Available
M0187,Metformin,Capsule,Alkem,B86868,04-07-2028,366,1704.31,MedPlus Supplier,Available
M0188,Atorvastatin,Tablet,Alkem,B85150,28-01-2030,418,1299.61,HealthCare Pharma,Available
M0189,Diclofenac,Cream,Torrent,B85665,21-11-2028,305,1528.61,ABC Medicals,Available
M0190,Crocin,Injection,Mankind,B36284,03-11-2027,16,1096.52,ABC Medicals,Low Stock
M0191,Augmentin,Tablet,Lupin,B11088,31-12-2028,297,1051.26,Wellness Pharma,Available
M0192,Ciprofloxacin,Injection,Cipla,B22219,21-04-2030,177,2137.39,HealthCare Pharma,Available
M0193,Diclofenac,Syrup,Cipla,B89693,01-05-2029,18,1778.14,HealthCare Pharma,Low Stock
M0194,Diclofenac,Cream,Abbott,B55630,02-02-2028,314,1432.05,Apollo Distributor,Available
M0195,ORS,Injection,Sun Pharma,B17156,15-10-2029,433,395.15,Wellness Pharma,Available
M0196,Monocef,Syrup,Torrent,B28622,29-03-2030,207,1966.98,MedPlus Supplier,Available
M0197,Ibuprofen,Injection,Pfizer,B27611,09-08-2030,142,1941.38,Apollo Distributor,Available
M0198,Ibuprofen,Syrup,Alkem,B96244,14-05-2027,54,1899.4,ABC Medicals,Available
M0199,Augmentin,Syrup,Sun Pharma,B65777,11-08-2029,391,906.85,Apollo Distributor,Available
M0200,Ciprofloxacin,Cream,Pfizer,B79807,10-12-2029,386,1674.75,Apollo Distributor,Available
M0201,Amoxicillin,Injection,Torrent,B18266,01-04-2028,158,2353.6,Wellness Pharma,Available
M0202,Paracetamol,Tablet,Lupin,B40287,24-10-2028,84,2343.94,Apollo Distributor,Available
M0203,Augmentin,Capsule,Alkem,B38792,13-06-2027,251,335.66,MedPlus Supplier,Available
M0204,Pantoprazole,Capsule,Alkem,B24368,04-10-2028,5,2379.59,Apollo Distributor,Low Stock
M0205,Aspirin,Tablet,Sun Pharma,B34820,27-06-2028,176,1681.2,ABC Medicals,Available
M0206,Dolo 650,Tablet,Glenmark,B20183,27-01-2030,110,2252.65,MedPlus Supplier,Available
M0207,Dolo 650,Capsule,Alkem,B61959,12-04-2028,451,330.41,MedPlus Supplier,Available
M0208,Ibuprofen,Injection,Mankind,B26046,02-09-2027,27,2171.54,Wellness Pharma,Available
M0209,Aspirin,Tablet,Sun Pharma,B97446,11-02-2030,244,1643.89,Wellness Pharma,Available
M0210,Pantoprazole,Tablet,Sun Pharma,B87923,09-02-2028,46,965.51,MedPlus Supplier,Available
M0211,Ibuprofen,Cream,Alkem,B31262,02-08-2030,82,1559.27,MedPlus Supplier,Available
M0212,Calcium Tablets,Injection,Sun Pharma,B39084,20-02-2028,95,806.41,ABC Medicals,Available
M0213,Aspirin,Injection,Glenmark,B71829,07-08-2027,232,331.53,HealthCare Pharma,Available
M0214,Vitamin C,Injection,Abbott,B99647,12-08-2029,288,2337,ABC Medicals,Available
M0215,Paracetamol,Syrup,Torrent,B95783,09-03-2030,456,1698.55,HealthCare Pharma,Available
M0216,Crocin,Syrup,Sun Pharma,B46946,28-11-2027,434,171.1,Wellness Pharma,Available
M0217,Azithromycin,Cream,Lupin,B38651,09-05-2030,307,2282.48,MedPlus Supplier,Available
M0218,Crocin,Cream,Alkem,B26303,07-05-2027,338,2244.53,Apollo Distributor,Available
M0219,Omeprazole,Cream,Alkem,B84050,07-07-2030,178,1909.5,MedPlus Supplier,Available
M0220,Dolo 650,Injection,Mankind,B83741,27-11-2028,333,454.09,MedPlus Supplier,Available
M0221,Omeprazole,Capsule,Glenmark,B47141,19-02-2030,261,1029.9,Apollo Distributor,Available
M0222,Vitamin C,Cream,Dr. Reddy's,B59997,12-06-2029,403,1765.52,HealthCare Pharma,Available
M0223,Vitamin D,Capsule,Glenmark,B88809,15-03-2030,250,1208.66,MedPlus Supplier,Available
M0224,Omeprazole,Syrup,Sun Pharma,B15016,27-02-2027,56,320.02,MedPlus Supplier,Available
M0225,Omeprazole,Tablet,Glenmark,B44298,21-05-2028,97,2497.87,Wellness Pharma,Available
M0226,Amoxicillin,Capsule,Pfizer,B28941,17-01-2030,135,2035.61,Apollo Distributor,Available
M0227,Cetirizine,Tablet,Lupin,B96507,13-05-2027,179,2051.28,MedPlus Supplier,Available
M0228,Ciprofloxacin,Tablet,Dr. Reddy's,B24157,03-08-2030,252,1478.74,Wellness Pharma,Available
M0229,Vitamin C,Cream,Abbott,B68783,29-01-2027,361,1721.59,MedPlus Supplier,Available
M0230,Vitamin D,Syrup,Mankind,B53955,26-04-2030,470,1902.31,Wellness Pharma,Available
M0231,Augmentin,Syrup,Dr. Reddy's,B82307,24-11-2029,368,336.68,Apollo Distributor,Available
M0232,Vitamin C,Syrup,Pfizer,B45298,03-05-2030,75,1750.38,Apollo Distributor,Available
M0233,Aspirin,Syrup,Alkem,B91602,02-12-2028,365,470.37,Wellness Pharma,Available
M0234,Omeprazole,Injection,Alkem,B91638,28-12-2029,403,2381.75,Wellness Pharma,Available
M0235,Pantoprazole,Tablet,Lupin,B96097,22-08-2028,168,20.49,Wellness Pharma,Available
M0236,Azithromycin,Tablet,Torrent,B86166,26-08-2029,58,2448.98,MedPlus Supplier,Available
M0237,Aspirin,Capsule,Mankind,B69410,24-03-2030,234,831.53,HealthCare Pharma,Available
M0238,Amoxicillin,Capsule,Pfizer,B89784,29-11-2029,239,1826.81,HealthCare Pharma,Available
M0239,Vitamin D,Injection,Pfizer,B30667,12-06-2027,134,2256.13,Apollo Distributor,Available
M0240,Atorvastatin,Syrup,Glenmark,B63711,21-03-2027,482,2333.55,MedPlus Supplier,Available
M0241,Omeprazole,Tablet,Sun Pharma,B15982,22-05-2029,177,2377.98,Apollo Distributor,Available
M0242,Metformin,Capsule,Lupin,B46336,19-12-2028,464,2191.65,ABC Medicals,Available
M0243,Augmentin,Cream,Sun Pharma,B56351,27-06-2030,469,1661.71,HealthCare Pharma,Available
M0244,Amoxicillin,Tablet,Mankind,B58510,10-08-2029,391,2008.31,HealthCare Pharma,Available
M0245,ORS,Cream,Dr. Reddy's,B81435,02-06-2029,243,1281.47,HealthCare Pharma,Available
M0246,Metformin,Syrup,Abbott,B15893,20-11-2028,139,216.07,Wellness Pharma,Available
M0247,Azithromycin,Capsule,Alkem,B70981,14-10-2029,265,1778.96,ABC Medicals,Available
M0248,Vitamin D,Capsule,Torrent,B63188,23-10-2029,305,2436.77,Wellness Pharma,Available
M0249,Diclofenac,Tablet,Sun Pharma,B65235,26-10-2027,85,984.92,HealthCare Pharma,Available
M0250,Dolo 650,Cream,Dr. Reddy's,B57915,13-10-2029,320,58.77,Apollo Distributor,Available
M0251,Ibuprofen,Syrup,Alkem,B92562,24-05-2028,412,1180.24,ABC Medicals,Available
M0252,Vitamin C,Tablet,Abbott,B25898,25-03-2030,331,2490.16,Wellness Pharma,Available
M0253,Omeprazole,Injection,Sun Pharma,B82905,15-12-2028,374,1600.79,Wellness Pharma,Available
M0254,Crocin,Capsule,Mankind,B72139,01-10-2028,256,2444,MedPlus Supplier,Available
M0255,Ibuprofen,Syrup,Lupin,B57488,24-10-2028,316,2158.1,MedPlus Supplier,Available
M0256,Diclofenac,Capsule,Cipla,B16569,18-12-2027,203,1960.08,MedPlus Supplier,Available
M0257,Paracetamol,Syrup,Pfizer,B26846,02-01-2028,17,69.2,MedPlus Supplier,Low Stock
M0258,Metformin,Injection,Glenmark,B24420,19-08-2028,75,859.61,HealthCare Pharma,Available
M0259,Pantoprazole,Capsule,Abbott,B39242,19-07-2029,496,447.68,Apollo Distributor,Available
M0260,Dolo 650,Capsule,Cipla,B94474,21-05-2029,281,751.84,Wellness Pharma,Available
M0261,Amoxicillin,Capsule,Lupin,B33438,13-02-2027,264,2420.44,HealthCare Pharma,Available
M0262,Azithromycin,Syrup,Mankind,B72420,27-05-2029,290,968.24,HealthCare Pharma,Available
M0263,Ibuprofen,Syrup,Alkem,B58686,07-12-2028,207,1689.61,ABC Medicals,Available
M0264,Pantoprazole,Capsule,Glenmark,B79034,12-04-2028,480,2392.8,Wellness Pharma,Available
M0265,Amoxicillin,Cream,Mankind,B54381,03-04-2030,135,506.14,Wellness Pharma,Available
M0266,Vitamin D,Syrup,Torrent,B66156,30-01-2027,289,2279.36,ABC Medicals,Available
M0267,Dolo 650,Capsule,Lupin,B37722,31-12-2027,189,34.87,Wellness Pharma,Available
M0268,Aspirin,Syrup,Sun Pharma,B88402,20-02-2029,44,146.44,Apollo Distributor,Available
M0269,Amoxicillin,Tablet,Lupin,B16977,15-12-2028,487,1556.32,ABC Medicals,Available
